,Temperature,Humidity,Wind Speed,Cloudiness,Latitude,Longitude,Date,Country
0,71.64,23,8.05,52,16.77,-3.01,1575506744,ML
1,41.88,72,2.44,0,20.42,104.04,1575506744,LA
2,83.86,73,2.71,92,-5.67,132.75,1575506745,ID
3,78.76,10,11.54,0,-33.21,138.6,1575506745,AU
4,75.2,69,14.99,20,-0.74,-90.35,1575506745,EC
5,-41.8,57,4.47,87,65.95,111.51,1575506745,RU
6,55.0,93,1.57,90,39.13,-121.55,1575506745,US
7,61.0,73,13.0,0,-34.42,19.24,1575506745,ZA
8,-11.2,83,9.17,90,70.47,-68.59,1575506745,CA
9,21.2,57,9.17,0,65.61,-37.64,1575506746,GL
10,82.0,24,8.79,0,-33.64,115.35,1575506746,AU
11,88.36,41,6.17,0,-23.58,149.07,1575506746,AU
12,-5.19,86,18.63,100,59.58,151.3,1575506746,RU
13,51.33,90,2.89,100,-29.06,30.59,1575506746,ZA
14,78.8,74,7.56,90,22.08,-159.32,1575506747,US
15,39.99,74,8.05,90,41.14,-73.36,1575506747,US
16,79.47,74,2.35,86,-23.12,-134.97,1575506747,PF
17,64.72,85,7.07,89,-14.82,34.64,1575506747,MW
18,33.8,74,3.36,90,42.65,-73.75,1575506673,US
19,69.67,83,20.04,94,14.9,-24.5,1575506747,CV
20,80.6,78,14.99,0,-21.21,-159.78,1575506476,CK
21,26.6,92,8.95,75,69.2,33.45,1575506748,RU
22,12.06,84,15.1,100,72.79,-56.15,1575506748,GL
23,86.0,27,8.05,21,-31.65,116.67,1575506748,AU
24,40.1,50,2.68,43,27.62,119.06,1575506748,CN
25,10.4,72,18.34,17,69.22,-51.1,1575506748,GL
26,75.99,69,6.93,5,20.48,-89.36,1575506748,MX
27,18.34,85,16.67,100,69.38,178.42,1575506749,RU
28,57.2,87,18.34,90,-37.83,140.78,1575506454,AU
29,36.0,100,8.05,0,51.94,-0.88,1575506749,GB
30,75.0,88,3.36,20,-20.01,57.66,1575506749,MU
31,37.99,86,11.41,75,63.84,23.13,1575506749,FI
32,23.86,70,4.79,100,47.96,80.43,1575506750,KZ
33,-25.6,74,6.93,75,62.45,-114.38,1575506750,CA
34,48.2,70,34.45,20,-53.16,-70.91,1575506750,CL
35,46.4,65,2.24,75,35.73,140.83,1575506750,JP
36,67.41,32,6.13,32,18.9,-3.53,1575506750,ML
37,82.6,77,3.27,79,-2.67,141.3,1575506750,PG
38,77.0,6,2.24,5,23.99,-104.67,1575506750,MX
39,51.28,94,1.68,89,8.96,38.73,1575506751,ET
40,64.99,72,2.24,36,-22.95,14.51,1575506751,NA
41,78.8,100,6.93,75,-0.12,-51.29,1575506751,BR
42,77.99,88,0.51,94,-2.68,111.62,1575506751,ID
43,44.6,66,6.93,1,39.95,-94.76,1575506751,US
44,24.71,37,8.08,100,60.14,-45.24,1575506751,GL
45,75.25,87,5.23,87,0.61,-80.02,1575506752,EC
46,50.0,65,27.51,75,-54.81,-68.31,1575506752,AR
47,35.6,80,23.04,75,63.84,-22.43,1575506752,IS
48,-5.6,96,8.28,100,73.51,80.55,1575506752,RU
49,68.45,88,4.88,100,-17.48,16.34,1575506752,NA
50,69.57,89,4.45,25,-0.92,100.36,1575506677,ID
51,82.85,67,1.07,100,0.54,123.06,1575506752,ID
52,54.0,100,8.05,90,40.6,-124.16,1575506753,US
53,5.0,84,2.24,90,58.52,-117.13,1575506753,CA
54,36.0,74,9.17,90,41.7,-71.42,1575506753,US
55,60.91,46,7.02,100,29.03,21.55,1575506753,LY
56,-25.6,74,4.7,40,65.28,-126.83,1575506754,CA
57,-4.58,73,4.7,0,77.48,-69.36,1575506754,GL
58,74.59,97,0.81,98,-7.96,38.99,1575506754,TZ
59,76.89,75,4.76,100,18.03,73.02,1575506754,IN
60,62.01,78,5.01,71,-33.59,26.89,1575506754,ZA
61,22.66,97,3.6,99,58.33,44.76,1575506754,RU
62,-10.28,86,4.59,96,47.72,128.88,1575506755,CN
63,82.4,78,9.17,20,6.8,-58.16,1575506649,GY
64,61.0,38,4.7,75,28.39,-105.62,1575506755,MX
65,67.19,97,8.14,77,-20.86,-46.39,1575506755,BR
66,82.4,94,2.01,75,15.74,-96.47,1575506514,MX
67,72.0,1,2.82,98,-27.05,-49.52,1575506755,BR
68,70.86,93,2.66,73,0.05,18.26,1575506756,CD
69,64.4,39,23.04,75,-42.78,147.06,1575506588,AU
70,15.48,94,6.93,100,58.33,68.13,1575506756,RU
